saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us,version,mtype,token-length,code,mid,token,options
18.159.197.156,2630197010,192.168.0.123,2063640768,7762,56,udp,1,5683,53913,93,"</c>,</t>,</i>;title=""DeviceInfo"",</m>;title=""Measurement"",</.well-known/core>",,,,,0,1,2025-10-21T10:32:48.353+0200,1761035568,353085,1,2,0,2.05 Content,32112,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
5.9.183.182,3065448709,192.168.0.123,2063640768,3790,53,udp,1,5683,49741,117,"</api>,</api/v1>;obs,</efento>;obs,</efento/c>,</efento/i>,</efento/m>,</efento/t>,</fw>;obs,</sw>;obs",,,,,0,1,2025-10-21T10:32:48.356+0200,1761035568,356626,1,2,0,2.05 Content,32112,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
18.156.23.126,2115476498,192.168.0.123,2063640768,45207,117,udp,1,5683,51106,117,"</api>,</api/v1>;obs,</efento>;obs,</efento/c>,</efento/i>,</efento/m>,</efento/t>,</fw>;obs,</sw>;obs",,,,,0,1,2025-10-21T10:32:48.359+0200,1761035568,359403,1,2,0,2.05 Content,32112,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
3.77.105.192,3228126467,192.168.0.123,2063640768,27238,55,udp,1,5683,54342,117,"</api>,</api/v1>;obs,</efento>;obs,</efento/c>,</efento/i>,</efento/m>,</efento/t>,</fw>;obs,</sw>;obs",,,,,0,1,2025-10-21T10:32:48.359+0200,1761035568,359468,1,2,0,2.05 Content,32112,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
3.255.80.2,38862595,192.168.0.123,2063640768,19728,56,udp,1,5683,51367,71,"</rd>;rt=""core.rd"",</virtual_notify>,</.well-known/core>",,,,,0,1,2025-10-21T10:32:48.374+0200,1761035568,374780,1,2,0,2.05 Content,32112,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
31.202.30.234,3927886367,192.168.0.123,2063640768,60543,56,udp,1,5683,57041,99,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,1,2025-10-21T10:32:48.379+0200,1761035568,379261,1,2,0,2.05 Content,32112,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
31.202.114.155,2607991327,192.168.0.123,2063640768,5064,56,udp,1,5683,56741,99,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,1,2025-10-21T10:32:48.379+0200,1761035568,379442,1,2,0,2.05 Content,32112,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
20.67.233.91,1542013716,192.168.0.123,2063640768,36411,43,udp,1,5683,58421,117,"</api>,</api/v1>;obs,</efento>;obs,</efento/c>,</efento/i>,</efento/m>,</efento/t>,</fw>;obs,</sw>;obs",,,,,0,1,2025-10-21T10:32:48.380+0200,1761035568,380960,1,2,0,2.05 Content,32112,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
5.165.78.47,793683205,192.168.0.123,2063640768,14520,54,udp,1,5683,41100,99,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,1,2025-10-21T10:32:48.390+0200,1761035568,390820,1,2,0,2.05 Content,32112,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
31.40.35.32,539174943,192.168.0.123,2063640768,58464,55,udp,1,5683,42593,99,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,1,2025-10-21T10:32:48.396+0200,1761035568,396448,1,2,0,2.05 Content,32112,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
