saddr,uri,version,mtype,token-length,code,mid,token,options,payload,payload-length,observable,user_inserted
177.23.17.22,/device/inform/data,1.0,2.0,2.0,2.05 Content,5330.0,32a8,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
191.96.200.192,/device/inform/data,1.0,2.0,2.0,2.05 Content,5331.0,32a9,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
183.221.123.220,/device/inform/data,1.0,2.0,2.0,2.05 Content,45321.0,4a9a,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
183.236.64.91,/device/inform/data,1.0,2.0,2.0,2.05 Content,5335.0,32ad,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
183.220.223.95,/device/inform/data,1.0,2.0,2.0,2.05 Content,45323.0,4a9c,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
183.237.2.70,/device/inform/data,1.0,2.0,2.0,2.05 Content,45324.0,4a9d,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
183.221.3.204,/device/inform/data,1.0,2.0,2.0,2.05 Content,45325.0,4a9e,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
183.222.86.224,/device/inform/data,1.0,2.0,2.0,2.05 Content,45326.0,4a9f,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
183.221.174.72,/device/inform/data,1.0,2.0,2.0,2.05 Content,45327.0,4aa0,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
183.222.84.238,/device/inform/data,1.0,2.0,2.0,2.05 Content,45328.0,4aa1,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
183.238.251.46,/device/inform/data,1.0,2.0,2.0,2.05 Content,45329.0,4aa2,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}","
 postRequestText: null",23.0,0.0,False
