saddr,as_domain,as_name,asn,continent,continent_code,country,country_code
95.183.101.126,flex.ru,Flex Ltd.,AS21453,Europe,EU,Russia,RU
95.66.166.44,vladinfo.ru,"Limited Liability Company ""VLADINFO""",AS35645,Europe,EU,Russia,RU
91.191.237.158,miralogic.ru,"LLC ""KomTehCentr""",AS12668,Europe,EU,Russia,RU
84.244.59.17,ertelecom.ru,"JSC ""ER-Telecom Holding""",AS8345,Europe,EU,Russia,RU
95.46.173.124,mkpnet.ru,Orgtechservice Ltd,AS56361,Europe,EU,Russia,RU
88.84.209.234,flex.ru,Flex Ltd.,AS21453,Europe,EU,Russia,RU
81.94.253.81,kabelszat2002.hu,KabelszatNet-2002. Musoreloszto es Kereskedelmi Kft.,AS50181,Europe,EU,Hungary,HU
77.69.213.97,batelco.com,BEYON B.S.C.,AS5416,Asia,AS,Bahrain,BH
85.113.201.104,rt.ru,PJSC Rostelecom,AS12389,Europe,EU,Russia,RU
93.117.146.154,moldtelecom.md,Moldtelecom SA,AS8926,Europe,EU,Moldova,MD
94.190.15.215,interra.ru,"INTERRA telecommunications group, Ltd.",AS48524,Europe,EU,Russia,RU
95.220.31.43,wifire.ru,PJSC MegaFon,AS12714,Europe,EU,Russia,RU
89.23.21.43,pskovline.ru,Pskovline Ltd.,AS47438,Europe,EU,Russia,RU
77.56.248.133,sunrise.ch,Sunrise GmbH,AS6730,Europe,EU,Switzerland,CH
95.78.95.73,ertelecom.ru,"JSC ""ER-Telecom Holding""",AS42116,Europe,EU,Russia,RU
87.240.8.193,cnt.ru,"""Central Telegraph"" Public Joint-stock Company",AS8615,Europe,EU,Russia,RU
95.170.177.221,axioma24.ru,"Axioma, LLC",AS39785,Europe,EU,Russia,RU
89.25.119.197,atlantis-sat.bg,ATLANTIS SAT LTD,AS210646,Europe,EU,Bulgaria,BG
93.190.18.156,bisv.ru,Business Svyaz,AS47586,Europe,EU,Russia,RU
81.23.178.251,infolada.ru,InfoLada Ltd,AS8416,Europe,EU,Russia,RU
85.15.90.207,vtelecom.ru,Vostoktelecom Telephone Company Limited Liability Company,AS34896,Europe,EU,Russia,RU
92.246.161.7,mts.ru,MTS PJSC,AS35728,Europe,EU,Russia,RU
83.246.166.56,intelbi.ru,Joint Stock Company TransTeleCom,AS31364,Europe,EU,Russia,RU
95.183.104.215,flex.ru,Flex Ltd.,AS21453,Europe,EU,Russia,RU
77.40.30.241,rt.ru,PJSC Rostelecom,AS12389,Europe,EU,Russia,RU
87.251.101.160,rt.ru,PJSC Rostelecom,AS12389,Europe,EU,Russia,RU
78.71.210.13,teliacompany.com,Telia Company AB,AS3301,Europe,EU,Sweden,SE
80.71.248.64,rialcom.ru,Rial Com JSC,AS34456,Europe,EU,Russia,RU
95.31.253.72,corbina.net,"PJSC ""Vimpelcom""",AS8402,Europe,EU,Russia,RU
95.71.91.180,rt.ru,PJSC Rostelecom,AS12389,Europe,EU,Russia,RU
94.159.53.98,netcom-r.ru,NetCom-R LLC,AS49531,Europe,EU,Russia,RU
85.156.70.183,elisa.fi,Elisa Oyj,AS719,Europe,EU,Finland,FI
77.51.199.83,rostelecom.ru,PJSC Rostelecom,AS25515,Europe,EU,Russia,RU
85.174.22.30,rt.ru,PJSC Rostelecom,AS12389,Europe,EU,Russia,RU
81.94.251.215,kabelszat2002.hu,KabelszatNet-2002. Musoreloszto es Kereskedelmi Kft.,AS50181,Europe,EU,Hungary,HU
94.242.41.67,visp.net,VISP LLC,AS200302,Europe,EU,Russia,RU
77.82.185.213,rt.ru,PJSC Rostelecom,AS12389,Europe,EU,Russia,RU
93.120.199.9,rt.ru,PJSC Rostelecom,AS12389,Europe,EU,Russia,RU
91.197.134.96,komfort21vek.ru,Comfort XXI Century Ltd.,AS204144,Europe,EU,Ukraine,UA
91.243.252.41,soskol.com,GorPTUs OOO,AS47531,Europe,EU,Russia,RU
95.110.110.153,bashtel.ru,"PJSC ""Bashinformsvyaz""",AS28812,Europe,EU,Russia,RU
91.202.25.161,kvant-telecom.ru,KVANT TELECOM,AS43727,Europe,EU,Russia,RU
95.183.22.219,focus.life,Stroytechservice LLC,AS47684,Europe,EU,Russia,RU
79.111.231.107,wifire.ru,PJSC MegaFon,AS12714,Europe,EU,Russia,RU
81.211.13.201,beeline.ru,"PJSC ""Vimpelcom""",AS3216,Europe,EU,Russia,RU
91.135.151.175,westcall.ru,OOO WestCall Ltd.,AS8595,Europe,EU,Russia,RU
95.37.48.104,rt.ru,PJSC Rostelecom,AS12389,Europe,EU,Russia,RU
95.66.208.240,vladinfo.ru,"Limited Liability Company ""VLADINFO""",AS35645,Europe,EU,Russia,RU
88.9.21.63,movistar.es,TELEFONICA DE ESPANA S.A.U.,AS3352,Europe,EU,Spain,ES
83.172.13.70,ertelecom.ru,"JSC ""ER-Telecom Holding""",AS56981,Europe,EU,Russia,RU
