saddr,as_domain,as_name,asn,continent,continent_code,country,country_code
46.73.53.207,wifire.ru,PJSC MegaFon,AS12714,Europe,EU,Russia,RU
49.149.175.129,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
62.63.85.30,artx.ru,ArtX LLC,AS20985,Europe,EU,Russia,RU
60.53.3.143,tm.com.my,TM TECHNOLOGY SERVICES SDN. BHD.,AS4788,Asia,AS,Malaysia,MY
49.147.89.59,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
36.151.72.2,chinamobile.com,China Mobile communications corporation,AS56046,Asia,AS,China,CN
49.147.112.249,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
60.186.80.136,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
49.145.61.118,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
49.146.144.80,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
49.146.239.71,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
46.167.118.243,transtelecom.net,Joint Stock Company TransTeleCom,AS8427,Europe,EU,Russia,RU
61.145.181.197,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
37.193.63.17,novotelecom.ru,Novotelecom Ltd,AS31200,Europe,EU,Russia,RU
46.158.97.36,rt.ru,PJSC Rostelecom,AS12389,Europe,EU,Russia,RU
