saddr,as_domain,as_name,asn,continent,continent_code,country,country_code
49.145.50.172,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
36.163.38.190,chinamobile.com,China Mobile communications corporation,AS56046,Asia,AS,China,CN
49.146.50.9,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
46.61.114.193,rt.ru,PJSC Rostelecom,AS12389,Europe,EU,Russia,RU
60.52.137.132,tm.com.my,TM TECHNOLOGY SERVICES SDN. BHD.,AS4788,Asia,AS,Malaysia,MY
59.91.215.207,bsnl.co.in,National Internet Backbone,AS9829,Asia,AS,India,IN
39.90.144.108,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
49.147.123.5,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
39.170.74.44,chinamobile.com,China Mobile communications corporation,AS56041,Asia,AS,China,CN
37.194.188.129,novotelecom.ru,Novotelecom Ltd,AS31200,Europe,EU,Russia,RU
47.117.126.155,alibabagroup.com,"Hangzhou Alibaba Advertising Co.,Ltd.",AS37963,Asia,AS,China,CN
46.187.104.42,wifire.ru,PJSC MegaFon,AS12714,Europe,EU,Russia,RU
58.16.34.78,chinaunicom.cn,CHINA UNICOM China169 Backbone,AS4837,Asia,AS,China,CN
49.145.119.241,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
49.147.96.169,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
37.140.2.80,is74.ru,Intersvyaz-2 JSC,AS8369,Europe,EU,Russia,RU
60.53.11.84,tm.com.my,TM TECHNOLOGY SERVICES SDN. BHD.,AS4788,Asia,AS,Malaysia,MY
42.248.146.190,chinatelecom.com.cn,CHINANET-BACKBONE,AS4134,Asia,AS,China,CN
46.22.251.151,signaltv.net,Signal Service LLC,AS42514,Europe,EU,Russia,RU
49.149.115.93,pldt.com,Philippine Long Distance Telephone Company,AS9299,Asia,AS,Philippines,PH
