saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us,uri,observable,user_inserted,version,mtype,token,token_length,code,mid,options,data_length
87.240.16.163,2735796311,192.168.0.123,2063640768,45012,53,udp,1,5683,39841,12,,,,,,0,1,2025-10-30T19:10:09.750+0100,1761847809,750500,/register,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0
94.231.155.188,3164333918,192.168.0.123,2063640768,13944,48,udp,1,5683,41695,12,,,,,,0,1,2025-10-30T19:10:09.753+0100,1761847809,753990,/register,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0
89.222.188.197,3317489241,192.168.0.123,2063640768,41699,53,udp,1,5683,34861,12,,,,,,0,1,2025-10-30T19:10:09.765+0100,1761847809,765660,/register,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0
89.208.111.229,3849310297,192.168.0.123,2063640768,6820,46,udp,1,5683,44448,12,,,,,,0,1,2025-10-30T19:10:09.773+0100,1761847809,773182,/register,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0
95.152.4.43,721721439,192.168.0.123,2063640768,38306,54,udp,1,5683,39724,12,,,,,,0,1,2025-10-30T19:10:09.778+0100,1761847809,778612,/register,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0
93.181.243.205,3455300957,192.168.0.123,2063640768,19120,54,udp,1,5683,42144,12,,,,,,0,1,2025-10-30T19:10:09.779+0100,1761847809,779712,/register,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0
78.106.40.235,3945294414,192.168.0.123,2063640768,56391,51,udp,1,5683,47185,12,,,,,,0,1,2025-10-30T19:10:09.784+0100,1761847809,784366,/register,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0
94.232.21.8,135653470,192.168.0.123,2063640768,33126,49,udp,1,5683,43501,12,,,,,,0,1,2025-10-30T19:10:09.797+0100,1761847809,797329,/register,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0
85.15.123.202,3397062485,192.168.0.123,2063640768,53701,52,udp,1,5683,32805,12,,,,,,0,1,2025-10-30T19:10:09.856+0100,1761847809,856223,/register,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0
87.225.59.88,1480319319,192.168.0.123,2063640768,35057,54,udp,1,5683,44103,12,,,,,,0,1,2025-10-30T19:10:09.873+0100,1761847809,873579,/register,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0
77.82.235.2,48976461,192.168.0.123,2063640768,19980,54,udp,1,5683,57278,12,,,,,,0,1,2025-10-30T19:10:09.913+0100,1761847809,913271,/register,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0
87.240.16.163,2735796311,192.168.0.123,2063640768,45453,53,udp,1,5683,43451,12,,,,,,0,1,2025-10-30T19:10:21.868+0100,1761847821,868954,/ndm/dis,3,False,1,2,,0,4.00 Bad Request,32112,,0
94.231.155.188,3164333918,192.168.0.123,2063640768,15167,48,udp,1,5683,36248,12,,,,,,0,1,2025-10-30T19:10:21.872+0100,1761847821,872355,/ndm/dis,3,False,1,2,,0,4.00 Bad Request,32112,,0
89.222.188.197,3317489241,192.168.0.123,2063640768,43502,53,udp,1,5683,43232,12,,,,,,0,1,2025-10-30T19:10:21.874+0100,1761847821,874106,/ndm/dis,3,False,1,2,,0,4.00 Bad Request,32112,,0
89.208.111.229,3849310297,192.168.0.123,2063640768,8143,46,udp,1,5683,57175,12,,,,,,0,1,2025-10-30T19:10:21.879+0100,1761847821,879605,/ndm/dis,3,False,1,2,,0,4.00 Bad Request,32112,,0
95.152.4.43,721721439,192.168.0.123,2063640768,39600,54,udp,1,5683,45305,12,,,,,,0,1,2025-10-30T19:10:21.883+0100,1761847821,883624,/ndm/dis,3,False,1,2,,0,4.00 Bad Request,32112,,0
78.106.40.235,3945294414,192.168.0.123,2063640768,57034,51,udp,1,5683,60483,12,,,,,,0,1,2025-10-30T19:10:21.890+0100,1761847821,890556,/ndm/dis,3,False,1,2,,0,4.00 Bad Request,32112,,0
77.79.150.117,1972784973,192.168.0.123,2063640768,32187,48,udp,1,5683,48631,12,,,,,,0,1,2025-10-30T19:10:21.896+0100,1761847821,896016,/ndm/dis,3,False,1,2,,0,4.00 Bad Request,32112,,0
93.181.243.205,3455300957,192.168.0.123,2063640768,20339,54,udp,1,5683,33162,12,,,,,,0,1,2025-10-30T19:10:21.898+0100,1761847821,898497,/ndm/dis,3,False,1,2,,0,4.00 Bad Request,32112,,0
82.215.85.62,1045813074,192.168.0.123,2063640768,55441,52,udp,1,5683,38506,12,,,,,,0,1,2025-10-30T19:10:21.910+0100,1761847821,910731,/ndm/dis,3,False,1,2,,0,4.00 Bad Request,32112,,0
94.232.21.8,135653470,192.168.0.123,2063640768,33325,49,udp,1,5683,49110,12,,,,,,0,1,2025-10-30T19:10:21.913+0100,1761847821,913438,/ndm/dis,3,False,1,2,,0,4.00 Bad Request,32112,,0
85.15.123.202,3397062485,192.168.0.123,2063640768,55132,52,udp,1,5683,58536,12,,,,,,0,1,2025-10-30T19:10:21.964+0100,1761847821,964265,/ndm/dis,3,False,1,2,,0,4.00 Bad Request,32112,,0
87.225.59.88,1480319319,192.168.0.123,2063640768,37627,54,udp,1,5683,54640,12,,,,,,0,1,2025-10-30T19:10:21.972+0100,1761847821,972211,/ndm/dis,3,False,1,2,,0,4.00 Bad Request,32112,,0
77.82.235.2,48976461,192.168.0.123,2063640768,20599,54,udp,1,5683,41896,12,,,,,,0,1,2025-10-30T19:10:21.985+0100,1761847821,985468,/ndm/dis,3,False,1,2,,0,4.00 Bad Request,32112,,0
89.222.188.197,3317489241,192.168.0.123,2063640768,44019,53,udp,1,5683,53197,16,0x1,,,,,0,1,2025-10-30T19:10:34.009+0100,1761847834,9529,/ndm/ci,3,False,1,2,,0,4.00 Bad Request,32112,,3
94.231.155.188,3164333918,192.168.0.123,2063640768,16420,50,udp,1,5683,54915,16,0x1,,,,,0,1,2025-10-30T19:10:34.010+0100,1761847834,10812,/ndm/ci,3,False,1,2,,0,4.00 Bad Request,32112,,3
89.208.111.229,3849310297,192.168.0.123,2063640768,10509,46,udp,1,5683,56281,16,0x1,,,,,0,1,2025-10-30T19:10:34.013+0100,1761847834,13838,/ndm/ci,3,False,1,2,,0,4.00 Bad Request,32112,,3
87.240.16.163,2735796311,192.168.0.123,2063640768,46188,53,udp,1,5683,36608,16,0x1,,,,,0,1,2025-10-30T19:10:34.015+0100,1761847834,15599,/ndm/ci,3,False,1,2,,0,4.00 Bad Request,32112,,3
95.152.4.43,721721439,192.168.0.123,2063640768,40398,54,udp,1,5683,59581,16,0x1,,,,,0,1,2025-10-30T19:10:34.022+0100,1761847834,22921,/ndm/ci,3,False,1,2,,0,4.00 Bad Request,32112,,3
77.79.150.117,1972784973,192.168.0.123,2063640768,34599,47,udp,1,5683,50312,12,,,,,,0,1,2025-10-30T19:10:34.028+0100,1761847834,28796,/ndm/ci,3,False,1,2,,0,4.00 Bad Request,32112,,0
78.106.40.235,3945294414,192.168.0.123,2063640768,57741,51,udp,1,5683,54021,16,0x1,,,,,0,1,2025-10-30T19:10:34.028+0100,1761847834,28937,/ndm/ci,3,False,1,2,,0,4.00 Bad Request,32112,,3
93.181.243.205,3455300957,192.168.0.123,2063640768,22475,54,udp,1,5683,59778,16,0x1,,,,,0,1,2025-10-30T19:10:34.029+0100,1761847834,29826,/ndm/ci,3,False,1,2,,0,4.00 Bad Request,32112,,3
82.215.85.62,1045813074,192.168.0.123,2063640768,57394,52,udp,1,5683,50683,12,,,,,,0,1,2025-10-30T19:10:34.056+0100,1761847834,56055,/ndm/ci,3,False,1,2,,0,4.00 Bad Request,32112,,0
94.232.21.8,135653470,192.168.0.123,2063640768,33900,49,udp,1,5683,46576,16,0x1,,,,,0,1,2025-10-30T19:10:34.063+0100,1761847834,63113,/ndm/ci,3,False,1,2,,0,4.00 Bad Request,32112,,3
85.15.123.202,3397062485,192.168.0.123,2063640768,56060,52,udp,1,5683,57831,16,0x1,,,,,0,1,2025-10-30T19:10:34.103+0100,1761847834,103670,/ndm/ci,3,False,1,2,,0,4.00 Bad Request,32112,,3
87.225.59.88,1480319319,192.168.0.123,2063640768,40603,54,udp,1,5683,49835,16,0x1,,,,,0,1,2025-10-30T19:10:34.114+0100,1761847834,114726,/ndm/ci,3,False,1,2,,0,4.00 Bad Request,32112,,3
77.82.235.2,48976461,192.168.0.123,2063640768,22894,54,udp,1,5683,44835,16,0x1,,,,,0,1,2025-10-30T19:10:34.129+0100,1761847834,129278,/ndm/ci,3,False,1,2,,0,4.00 Bad Request,32112,,3
89.222.188.197,3317489241,192.168.0.123,2063640768,45619,53,udp,1,5683,36928,12,,,,,,0,1,2025-10-30T19:10:46.157+0100,1761847846,157948,/mirror,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0
89.208.111.229,3849310297,192.168.0.123,2063640768,11320,46,udp,1,5683,44148,12,,,,,,0,1,2025-10-30T19:10:46.162+0100,1761847846,162944,/mirror,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0
87.240.16.163,2735796311,192.168.0.123,2063640768,47556,53,udp,1,5683,49690,12,,,,,,0,1,2025-10-30T19:10:46.163+0100,1761847846,163953,/mirror,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0
94.231.155.188,3164333918,192.168.0.123,2063640768,18635,49,udp,1,5683,33611,12,,,,,,0,1,2025-10-30T19:10:46.165+0100,1761847846,165578,/mirror,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0
93.181.243.205,3455300957,192.168.0.123,2063640768,24474,54,udp,1,5683,42238,12,,,,,,0,1,2025-10-30T19:10:46.174+0100,1761847846,174269,/mirror,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0
95.152.4.43,721721439,192.168.0.123,2063640768,43127,54,udp,1,5683,50682,12,,,,,,0,1,2025-10-30T19:10:46.180+0100,1761847846,180296,/mirror,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0
78.106.40.235,3945294414,192.168.0.123,2063640768,60211,51,udp,1,5683,38658,12,,,,,,0,1,2025-10-30T19:10:46.186+0100,1761847846,186967,/mirror,3,False,1,2,,0,4.05 Method Not Allowed,32112,,0
