31.41.185.125,2109286687,10.128.0.2,33587210,55128,239,udp,1,5683.0,33047.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2026-01-10T15:59:32.610+0000,1768060772,610339,False,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",string,84.0,/.well-known/core
1.63.197.125,2110078721,10.128.0.2,33587210,51071,56,udp,1,5683.0,59169.0,112.0,"</qlink/searchdevice>;title=""QLINK-FIND Resource"",</qlink/netinfo>;title=""QLINK-NETINFO Resource""",,,,,0,0,2026-01-10T15:59:32.799+0000,1768060772,799293,False,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",string,97.0,/.well-known/core
5.165.30.255,4280198405,10.128.0.2,33587210,44844,49,udp,1,5683.0,53905.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2026-01-10T15:59:33.129+0000,1768060773,129000,False,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",string,84.0,/.well-known/core
31.41.190.42,717105439,10.128.0.2,33587210,45900,239,udp,1,5683.0,55679.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2026-01-10T15:59:33.491+0000,1768060773,491292,False,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",string,84.0,/.well-known/core
14.127.209.132,2228322062,10.128.0.2,33587210,30034,54,udp,1,5683.0,44844.0,12.0,,,,,,0,0,2026-01-10T15:59:33.589+0000,1768060773,589693,False,1.0,2.0,,0.0,4.00 Bad Request,32112.0,,,0.0,/.well-known/core
5.165.70.197,3309741317,10.128.0.2,33587210,49658,49,udp,1,5683.0,60163.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2026-01-10T15:59:34.175+0000,1768060774,175542,False,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",string,84.0,/.well-known/core
24.156.168.194,3265829912,10.128.0.2,33587210,54391,59,udp,1,5683.0,59401.0,575.0,"</>;title=""General Info"";ct=0,</qlink/searchfh>;title=qlink/searchfh,</qlink/searchgw>;title=qlink/searchgw,</qlink/request>;title=qlink/request,</qlink/success>;title=qlink/success,</device/inform/bootstrap>;title=device/inform/bootstrap,</device/inform/boot>;title=device/inform/boot,</device/inform/syncreq>;title=device/inform/syncreq,</device/inform/offline>;title=device/inform/offline,</device/inform/heartbeat>;title=device/inform/heartbeat,</device/inform/data>;title=device/inform/data,</device/inform/change>;title=device/inform/change,</async>;ct=0",,,,,0,0,2026-01-10T15:59:35.023+0000,1768060775,23208,False,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",string,560.0,/.well-known/core
31.129.10.27,453673247,10.128.0.2,33587210,11636,47,udp,1,5683.0,42232.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2026-01-10T15:59:35.031+0000,1768060775,31823,False,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",string,84.0,/.well-known/core
5.164.143.1,26190853,10.128.0.2,33587210,59095,48,udp,1,5683.0,40698.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2026-01-10T15:59:35.311+0000,1768060775,311307,False,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",string,84.0,/.well-known/core
31.6.75.182,3058370079,10.128.0.2,33587210,13379,62,icmp,0,,,,,31.6.75.182,3.0,3.0,port unreachable,0,0,2026-01-10T15:59:35.385+0000,1768060775,385309,,,,,,,,,,,
