saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us,version,mtype,token,token_length,code,mid,options,data_length,observable,uri
170.79.121.111,1870221226,192.168.0.123,2063640768,10900,53,udp,1,5683,47692,31,Method Not Allowed,,,,,0,1,2025-10-31T16:49:10.363+0100,1761925750,363138,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/inform/heartbeat
180.194.152.238,4002988724,192.168.0.123,2063640768,0,52,udp,1,5683,43936,31,Method Not Allowed,,,,,0,1,2025-10-31T16:49:10.371+0100,1761925750,371381,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/inform/heartbeat
183.234.34.85,1428351671,192.168.0.123,2063640768,56561,42,udp,1,5683,53346,61,"should post example,{
""deviceId"": ""deviceId""

}",,,,,0,1,2025-10-31T16:49:10.480+0100,1761925750,480415,3,False,1,2,,0,4.00 Bad Request,32112,"{""CONTENT_FORMAT"": ""TEXT""}",47,/device/inform/heartbeat
183.221.127.78,1317002679,192.168.0.123,2063640768,18496,39,udp,1,5683,37046,28,"{""respCode"":1}",,,,,0,1,2025-10-31T16:49:10.494+0100,1761925750,494999,3,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""TEXT""}",14,/device/inform/heartbeat
170.79.121.111,1870221226,192.168.0.123,2063640768,12067,53,udp,1,5683,34459,31,Method Not Allowed,,,,,0,1,2025-10-31T16:49:24.473+0100,1761925764,473380,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/inform/data
180.194.152.238,4002988724,192.168.0.123,2063640768,0,52,udp,1,5683,57288,31,Method Not Allowed,,,,,0,1,2025-10-31T16:49:24.491+0100,1761925764,491888,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/inform/data
162.208.167.210,3534213282,192.168.0.123,2063640768,7638,42,udp,1,5683,54428,31,Method Not Allowed,,,,,0,1,2025-10-31T16:49:24.497+0100,1761925764,497517,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/inform/data
183.234.34.85,1428351671,192.168.0.123,2063640768,56849,42,udp,1,5683,41853,26,should post ,,,,,0,1,2025-10-31T16:49:24.588+0100,1761925764,588285,3,False,1,2,,0,4.00 Bad Request,32112,"{""CONTENT_FORMAT"": ""TEXT""}",12,/device/inform/data
183.238.61.98,1648225975,192.168.0.123,2063640768,1886,43,udp,1,5683,53116,31,Method Not Allowed,,,,,0,1,2025-10-31T16:49:24.598+0100,1761925764,598341,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/inform/data
183.221.127.78,1317002679,192.168.0.123,2063640768,19848,39,udp,1,5683,45738,38,"
 postRequestText: null",,,,,0,1,2025-10-31T16:49:25.051+0100,1761925765,51321,0,False,1,2,,0,2.05 Content,32112,"{""OBSERVE"": ""0"", ""CONTENT_FORMAT"": ""TEXT""}",23,/device/inform/data
190.27.38.167,2804292542,192.168.0.123,2063640768,54522,52,udp,1,5683,50924,12,,,,,,0,1,2025-10-31T16:49:38.605+0100,1761925778,605767,3,False,1,2,,0,5.03 Service Unavailable,32112,,0,/async
170.79.121.111,1870221226,192.168.0.123,2063640768,13189,53,udp,1,5683,57493,12,,,,,,0,1,2025-10-31T16:49:38.619+0100,1761925778,619680,3,False,1,2,,0,EMPTY,32112,,0,/async
