saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us,version,mtype,token,token_length,code,mid,options,data_length,observable,uri
190.27.38.167,2804292542,192.168.0.123,2063640768,30846,52,udp,1,5683,53250,31,Method Not Allowed,,,,,0,1,2025-10-31T16:57:39.593+0100,1761926259,593000,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/qlink/netinfo
183.238.61.98,1648225975,192.168.0.123,2063640768,25577,43,udp,1,5683,32786,31,Method Not Allowed,,,,,0,1,2025-10-31T16:57:39.594+0100,1761926259,594753,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/qlink/netinfo
190.27.38.167,2804292542,192.168.0.123,2063640768,31993,52,udp,1,5683,33867,31,Method Not Allowed,,,,,0,1,2025-10-31T16:57:53.378+0100,1761926273,378346,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/qlink/searchack
183.238.61.98,1648225975,192.168.0.123,2063640768,26817,43,udp,1,5683,60366,31,Method Not Allowed,,,,,0,1,2025-10-31T16:57:53.521+0100,1761926273,521024,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/qlink/searchack
190.27.38.167,2804292542,192.168.0.123,2063640768,32709,52,udp,1,5683,38749,31,Method Not Allowed,,,,,0,1,2025-10-31T16:58:07.548+0100,1761926287,548371,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/command/Control
190.27.38.167,2804292542,192.168.0.123,2063640768,34090,52,udp,1,5683,51497,31,Method Not Allowed,,,,,0,1,2025-10-31T16:58:21.679+0100,1761926301,679996,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/command/Data
190.27.38.167,2804292542,192.168.0.123,2063640768,35220,52,udp,1,5683,54625,31,Method Not Allowed,,,,,0,1,2025-10-31T16:58:35.676+0100,1761926315,676348,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/command/Unbind
190.27.38.167,2804292542,192.168.0.123,2063640768,35437,52,udp,1,5683,49495,31,Method Not Allowed,,,,,0,1,2025-10-31T16:58:49.840+0100,1761926329,840395,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/command/file
183.238.61.98,1648225975,192.168.0.123,2063640768,30506,43,udp,1,5683,36497,31,Method Not Allowed,,,,,0,1,2025-10-31T16:58:49.890+0100,1761926329,890880,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/command/file
190.27.38.167,2804292542,192.168.0.123,2063640768,36820,52,udp,1,5683,47608,31,Method Not Allowed,,,,,0,1,2025-10-31T16:59:03.859+0100,1761926343,859749,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/command/flinkcmd
190.27.38.167,2804292542,192.168.0.123,2063640768,37574,52,udp,1,5683,54872,31,Method Not Allowed,,,,,0,1,2025-10-31T16:59:17.970+0100,1761926357,970696,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/controller/topo
190.27.38.167,2804292542,192.168.0.123,2063640768,37832,52,udp,1,5683,55957,31,Method Not Allowed,,,,,0,1,2025-10-31T16:59:32.121+0100,1761926372,121723,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/controller/send
190.27.38.167,2804292542,192.168.0.123,2063640768,38977,52,udp,1,5683,35219,31,Method Not Allowed,,,,,0,1,2025-10-31T16:59:46.220+0100,1761926386,220556,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/ubus/send
190.27.38.167,2804292542,192.168.0.123,2063640768,39584,52,udp,1,5683,43756,31,Method Not Allowed,,,,,0,1,2025-10-31T17:00:00.352+0100,1761926400,352651,3,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/wolink/sync
183.238.61.98,1648225975,192.168.0.123,2063640768,34613,43,udp,1,5683,50058,31,Method Not Allowed,,,,,0,1,2025-10-31T17:00:14.589+0100,1761926414,589320,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/qlink/searchdevice
183.238.61.98,1648225975,192.168.0.123,2063640768,35009,43,udp,1,5683,59085,31,Method Not Allowed,,,,,0,1,2025-10-31T17:00:28.897+0100,1761926428,897069,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/command/unbind
183.238.61.98,1648225975,192.168.0.123,2063640768,35828,43,udp,1,5683,36187,31,Method Not Allowed,,,,,0,1,2025-10-31T17:00:42.788+0100,1761926442,788602,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/command/log
183.238.61.98,1648225975,192.168.0.123,2063640768,36282,43,udp,1,5683,55809,31,Method Not Allowed,,,,,0,1,2025-10-31T17:00:56.879+0100,1761926456,879221,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/device/command/selfdetect
183.238.61.98,1648225975,192.168.0.123,2063640768,36402,43,udp,1,5683,42684,22,Not Found,,,,,0,1,2025-10-31T17:01:11.052+0100,1761926471,52197,2,False,1,2,,0,4.04 Not Found,32112,,9,/qlink/searchdevice?true
183.238.61.98,1648225975,192.168.0.123,2063640768,37646,43,udp,1,5683,46442,22,Not Found,,,,,0,1,2025-10-31T17:01:25.100+0100,1761926485,100128,2,False,1,2,,0,4.04 Not Found,32112,,9,/qlink/searchRouter?true
183.238.61.98,1648225975,192.168.0.123,2063640768,37818,43,udp,1,5683,56273,22,Not Found,,,,,0,1,2025-10-31T17:01:39.181+0100,1761926499,181885,2,False,1,2,,0,4.04 Not Found,32112,,9,/qlink/guide?true
183.238.61.98,1648225975,192.168.0.123,2063640768,38697,43,udp,1,5683,51513,22,Not Found,,,,,0,1,2025-10-31T17:01:53.281+0100,1761926513,281299,2,False,1,2,,0,4.04 Not Found,32112,,9,/qlink/request?true
183.238.61.98,1648225975,192.168.0.123,2063640768,38965,43,udp,1,5683,36378,31,Method Not Allowed,,,,,0,1,2025-10-31T17:02:07.404+0100,1761926527,404357,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/apdevice/control/WiFiParameterSync
183.238.61.98,1648225975,192.168.0.123,2063640768,40106,43,udp,1,5683,50538,31,Method Not Allowed,,,,,0,1,2025-10-31T17:02:21.490+0100,1761926541,490042,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/apdevice/control/WiFiSwitch
183.238.61.98,1648225975,192.168.0.123,2063640768,40836,43,udp,1,5683,44110,31,Method Not Allowed,,,,,0,1,2025-10-31T17:02:35.593+0100,1761926555,593158,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/apdevice/control/RadioConfig
183.238.61.98,1648225975,192.168.0.123,2063640768,41796,43,udp,1,5683,57517,31,Method Not Allowed,,,,,0,1,2025-10-31T17:02:49.673+0100,1761926569,673238,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/apdevice/control/WPS
183.238.61.98,1648225975,192.168.0.123,2063640768,42075,43,udp,1,5683,44780,31,Method Not Allowed,,,,,0,1,2025-10-31T17:03:03.780+0100,1761926583,780259,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/apdevice/control/MacFilter
183.238.61.98,1648225975,192.168.0.123,2063640768,42558,43,udp,1,5683,60779,31,Method Not Allowed,,,,,0,1,2025-10-31T17:03:17.850+0100,1761926597,850019,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/apdevice/control/Reboot
183.238.61.98,1648225975,192.168.0.123,2063640768,43724,43,udp,1,5683,35310,31,Method Not Allowed,,,,,0,1,2025-10-31T17:03:31.957+0100,1761926611,957656,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/apdevice/control/LEDControl
183.238.61.98,1648225975,192.168.0.123,2063640768,44771,43,udp,1,5683,49793,31,Method Not Allowed,,,,,0,1,2025-10-31T17:03:46.088+0100,1761926626,88072,2,False,1,2,,0,4.05 Method Not Allowed,32112,,18,/apdevice/control/RoamingConfig
183.238.61.98,1648225975,192.168.0.123,2063640768,45816,43,udp,1,5683,41428,3126,"{
	""data"":	{
		""hardwareVersion"":	""HV4.0.0"",
		""softwareVersion"":	""RAX3000-ZXW.ZD.06"",
		""WorkingMode"":	1,
		""FlashSize"":	128,
		""RamSize"":	512,
		""CPUOccupancyRate"":	21,
		""RamOccupancyRate"":	22,
		""UpTime"":	""600406"",
		""MacFilterEnable"":	1,
		""MacFilterPolicy"":	0,
		""MacFilterEntries"":	"""",
		""LEDOnOff"":	1,
		""BandSteeringStatus"":	0,
		""RoamingSwitch"":	0,
		""LowRSSI2.4G"":	-79,
		""LowRSSI5G"":	-79,
		""IPv6ConnStatus"":	""Unconnected"",
		""IPv6IPAddressOrigin"":	""AutoConfigured"",
		""IPv6IPAddress"":	""::"",
		""IPv6DNSServers"":	""::"",
		""IPv6PrefixDelegationEnabled"":	""FALSE"",
		""IPv6PrefixOrigin"":	""PrefixDelegation"",
		""IPv6Prefix"":	""::"",
		""IPv6PrefixPltime"":	0,
		""IPv6PrefixVltime"":	0,
		""DefaultIPv6Gateway"":	""::"",
		""Dslite_Enable"":	""FALSE"",
		""IPv6Status"":	0,
		""SyncCode"":	""0"",
		""Radios"":	[{
				""Radio"":	""2.4G"",
				""Enable"":	1,
				""TransmitPower"":	""100"",
				""SSIDStandard"":	""802.11b/g/n/ax"",
				""NoiseLevel"":	""-91"",
				""LoadRate"":	18,
				""InterferencePercent"":	18,
				""Channel"":	""6"",
				""Bandwidth"":	1
			}, {
				""Radio"":	""5G"",
				""Enable"":	1,
				""TransmitPower"":	""100"",
				""SSIDStandard"":	""802.11a/n/ac/ax"",
				""NoiseLevel"":	""-91"",
				""LoadRate"":	3,
				""InterferencePercent"":	3,
				""Channel"":	""153"",
				""Bandwidth"":	0
			}],
		""Configurations"":	[{
				""Radio"":	""2.4G"",
				""Index"":	1,
				""Enable"":	1,
				""SSID"":	""CMCC-cpm7"",
				""SecurityMode"":	""MIXED-WPA2WPA3"",
				""Pwd"":	""r7n4grh3"",
				""Encrypt"":	1,
				""MaxAssociateNum"":	64,
				""SSIDAdvertisementEnabled"":	1
			}, {
				""Radio"":	""2.4G"",
				""Index"":	2,
				""Enable"":	0,
				""SSID"":	""CMCC-GUIDE-LINK"",
				""SecurityMode"":	""WPA2-Personal"",
				""Pwd"":	""!@#$%12345"",
				""Encrypt"":	3,
				""MaxAssociateNum"":	64,
				""SSIDAdvertisementEnabled"":	1
			}, {
				""Radio"":	""2.4G"",
				""Index"":	3,
				""Enable"":	0,
				""SSID"":	""CMCC-cpm7_Guest"",
				""SecurityMode"":	""None"",
				""Pwd"":	"""",
				""Encrypt"":	3,
				""MaxAssociateNum"":	64,
				""SSIDAdvertisementEnabled"":	1
			}, {
				""Radio"":	""2.4G"",
				""Index"":	4,
				""Enable"":	1,
				""SSID"":	""CMCC-cpm7_Wi-Fi5"",
				""SecurityMode"":	""MIXED-WPA2WPA3"",
				""Pwd"":	""r7n4grh3"",
				""Encrypt"":	1,
				""MaxAssociateNum"":	64,
				""SSIDAdvertisementEnabled"":	1
			}, {
				""Radio"":	""5G"",
				""Index"":	5,
				""Enable"":	1,
				""SSID"":	""CMCC-cpm7-5G"",
				""SecurityMode"":	""MIXED-WPA2WPA3"",
				""Pwd"":	""r7n4grh3"",
				""Encrypt"":	1,
				""MaxAssociateNum"":	64,
				""SSIDAdvertisementEnabled"":	1
			}, {
				""Radio"":	""5G"",
				""Index"":	6,
				""Enable"":	1,
				""SSID"":	""MESH-39A4FF-5G"",
				""SecurityMode"":	""WPA2-Personal"",
				""Pwd"":	""!@#$%12345"",
				""Encrypt"":	3,
				""MaxAssociateNum"":	64,
				""SSIDAdvertisementEnabled"":	0
			}, {
				""Radio"":	""5G"",
				""Index"":	7,
				""Enable"":	0,
				""SSID"":	""CMCC-cpm7-5G_Guest"",
				""SecurityMode"":	""None"",
				""Pwd"":	"""",
				""Encrypt"":	3,
				""MaxAssociateNum"":	64,
				""SSIDAdvertisementEnabled"":	1
			}, {
				""Radio"":	""5G"",
				""Index"":	8,
				""Enable"":	1,
				""SSID"":	""CMCC-cpm7-5G_Wi-Fi5"",
				""SecurityMode"":	""MIXED-WPA2WPA3"",
				""Pwd"":	""r7n4grh3"",
				""Encrypt"":	1,
				""MaxAssociateNum"":	64,
				""SSIDAdvertisementEnabled"":	1
			}]
	},
	""deviceId"":	""""
}",,,,,0,1,2025-10-31T17:04:00.536+0100,1761926640,536369,2,False,1,2,6c12,2,2.05 Content,31,"{""CONTENT_FORMAT"": ""JSON""}",3111,/apdevice/query/ApConfigInfo
183.238.61.98,1648225975,192.168.0.123,2063640768,47031,43,udp,1,5683,38954,284,"{
	""data"":	{
		""UplinkType"":	""Ethernet"",
		""MacAddress"":	""84A9C4D28EAC"",
		""Radio"":	"""",
		""SSID"":	"""",
		""Noise"":	"""",
		""SNR"":	"""",
		""RSSI"":	"""",
		""RxRate"":	""1000"",
		""TxRate"":	""1000"",
		""RxRate_rt"":	""0.042"",
		""TxRate_rt"":	""0.657"",
		""Channel"":	""""
	},
	""deviceId"":	""""
}",,,,,0,1,2025-10-31T17:04:14.941+0100,1761926654,941529,2,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""JSON""}",269,/apdevice/query/UplinkStatus
183.238.61.98,1648225975,192.168.0.123,2063640768,48095,43,udp,1,5683,43611,459,"{
	""data"":	{
		""Devices"":	[{
				""IPAddress"":	""192.168.10.2"",
				""STAIPv6IPAddress"":	""::"",
				""MacAddress"":	""347DE460B5E6"",
				""VMacAddress"":	""347DE460B5E6"",
				""STAType"":	""other"",
				""HostName"":	""anonymous"",
				""UpTime"":	""23505"",
				""Radio"":	""2.4G"",
				""SSID"":	""CMCC-cpm7_Wi-Fi5"",
				""RSSI"":	""-42"",
				""RxRate"":	""1"",
				""TxRate"":	""72"",
				""RxRate_rt"":	""0.000"",
				""TxRate_rt"":	""0.000""
			}],
		""STANumber"":	1
	},
	""deviceId"":	""""
}",,,,,0,1,2025-10-31T17:04:29.199+0100,1761926669,199354,2,False,1,2,,0,2.05 Content,32112,"{""CONTENT_FORMAT"": ""JSON""}",444,/apdevice/query/STAInfo
183.238.61.98,1648225975,192.168.0.123,2063640768,48129,43,udp,1,5683,33764,2432,"{
	""data"":	{
		""Stats"":	[{
				""Radio"":	""2.4G"",
				""Index"":	1,
				""SSID"":	""CMCC-cpm7"",
				""TotalBytesSent"":	0,
				""TotalBytesReceived"":	0,
				""TotalPacketsSent"":	0,
				""TotalPacketsReceived"":	0,
				""ErrorsSent"":	0,
				""ErrorsReceived"":	0,
				""DiscardPacketsSent"":	0,
				""DiscardPacketsReceived"":	0
			}, {
				""Radio"":	""2.4G"",
				""Index"":	2,
				""SSID"":	""CMCC-GUIDE-LINK"",
				""TotalBytesSent"":	0,
				""TotalBytesReceived"":	0,
				""TotalPacketsSent"":	0,
				""TotalPacketsReceived"":	0,
				""ErrorsSent"":	0,
				""ErrorsReceived"":	0,
				""DiscardPacketsSent"":	0,
				""DiscardPacketsReceived"":	0
			}, {
				""Radio"":	""2.4G"",
				""Index"":	3,
				""SSID"":	""CMCC-cpm7_Guest"",
				""TotalBytesSent"":	0,
				""TotalBytesReceived"":	0,
				""TotalPacketsSent"":	0,
				""TotalPacketsReceived"":	0,
				""ErrorsSent"":	0,
				""ErrorsReceived"":	0,
				""DiscardPacketsSent"":	0,
				""DiscardPacketsReceived"":	0
			}, {
				""Radio"":	""2.4G"",
				""Index"":	4,
				""SSID"":	""CMCC-cpm7_Wi-Fi5"",
				""TotalBytesSent"":	4914578,
				""TotalBytesReceived"":	23540360,
				""TotalPacketsSent"":	54023,
				""TotalPacketsReceived"":	96452,
				""ErrorsSent"":	0,
				""ErrorsReceived"":	0,
				""DiscardPacketsSent"":	0,
				""DiscardPacketsReceived"":	0
			}, {
				""Radio"":	""5G"",
				""Index"":	5,
				""SSID"":	""CMCC-cpm7-5G"",
				""TotalBytesSent"":	0,
				""TotalBytesReceived"":	0,
				""TotalPacketsSent"":	0,
				""TotalPacketsReceived"":	0,
				""ErrorsSent"":	0,
				""ErrorsReceived"":	0,
				""DiscardPacketsSent"":	0,
				""DiscardPacketsReceived"":	0
			}, {
				""Radio"":	""5G"",
				""Index"":	6,
				""SSID"":	""MESH-39A4FF-5G"",
				""TotalBytesSent"":	0,
				""TotalBytesReceived"":	0,
				""TotalPacketsSent"":	0,
				""TotalPacketsReceived"":	0,
				""ErrorsSent"":	0,
				""ErrorsReceived"":	0,
				""DiscardPacketsSent"":	0,
				""DiscardPacketsReceived"":	0
			}, {
				""Radio"":	""5G"",
				""Index"":	7,
				""SSID"":	""CMCC-cpm7-5G_Guest"",
				""TotalBytesSent"":	0,
				""TotalBytesReceived"":	0,
				""TotalPacketsSent"":	0,
				""TotalPacketsReceived"":	0,
				""ErrorsSent"":	0,
				""ErrorsReceived"":	0,
				""DiscardPacketsSent"":	0,
				""DiscardPacketsReceived"":	0
			}, {
				""Radio"":	""5G"",
				""Index"":	8,
				""SSID"":	""CMCC-cpm7-5G_Wi-Fi5"",
				""TotalBytesSent"":	0,
				""TotalBytesReceived"":	0,
				""TotalPacketsSent"":	0,
				""TotalPacketsReceived"":	0,
				""ErrorsSent"":	0,
				""ErrorsReceived"":	0,
				""DiscardPacketsSent"":	0,
				""DiscardPacketsReceived"":	0
			}]
	},
	""deviceId"":	""""
}",,,,,0,1,2025-10-31T17:04:43.130+0100,1761926683,130288,2,False,1,2,c6ee,2,2.05 Content,30018,"{""CONTENT_FORMAT"": ""JSON""}",2417,/apdevice/query/WiFiStats
183.238.61.98,1648225975,192.168.0.123,2063640768,48764,43,udp,1,5683,60468,2169,"{
	""data"":	{
		""Radios"":	[{
				""Radio"":	""2.4G"",
				""Enable"":	1,
				""TransmitPower"":	""100"",
				""Channel"":	""6"",
				""LoadRate"":	25,
				""Bandwidth"":	1
			}, {
				""Radio"":	""5G"",
				""Enable"":	1,
				""TransmitPower"":	""100"",
				""Channel"":	""153"",
				""LoadRate"":	3,
				""Bandwidth"":	0
			}],
		""Configurations"":	[{
				""Radio"":	""2.4G"",
				""Index"":	1,
				""Enable"":	1,
				""SSID"":	""CMCC-cpm7"",
				""SecurityMode"":	""MIXED-WPA2WPA3"",
				""Encrypt"":	1,
				""Pwd"":	""r7n4grh3"",
				""MaxAssociateNum"":	64,
				""SSIDAdvertisementEnabled"":	1
			}, {
				""Radio"":	""2.4G"",
				""Index"":	2,
				""Enable"":	0,
				""SSID"":	""CMCC-GUIDE-LINK"",
				""SecurityMode"":	""WPA2-Personal"",
				""Encrypt"":	3,
				""Pwd"":	""!@#$%12345"",
				""MaxAssociateNum"":	64,
				""SSIDAdvertisementEnabled"":	1
			}, {
				""Radio"":	""2.4G"",
				""Index"":	3,
				""Enable"":	0,
				""SSID"":	""CMCC-cpm7_Guest"",
				""SecurityMode"":	""None"",
				""Encrypt"":	3,
				""Pwd"":	"""",
				""MaxAssociateNum"":	64,
				""SSIDAdvertisementEnabled"":	1
			}, {
				""Radio"":	""2.4G"",
				""Index"":	4,
				""Enable"":	1,
				""SSID"":	""CMCC-cpm7_Wi-Fi5"",
				""SecurityMode"":	""MIXED-WPA2WPA3"",
				""Encrypt"":	1,
				""Pwd"":	""r7n4grh3"",
				""MaxAssociateNum"":	64,
				""SSIDAdvertisementEnabled"":	1
			}, {
				""Radio"":	""5G"",
				""Index"":	5,
				""Enable"":	1,
				""SSID"":	""CMCC-cpm7-5G"",
				""SecurityMode"":	""MIXED-WPA2WPA3"",
				""Encrypt"":	1,
				""Pwd"":	""r7n4grh3"",
				""MaxAssociateNum"":	64,
				""SSIDAdvertisementEnabled"":	1
			}, {
				""Radio"":	""5G"",
				""Index"":	6,
				""Enable"":	1,
				""SSID"":	""MESH-39A4FF-5G"",
				""SecurityMode"":	""WPA2-Personal"",
				""Encrypt"":	3,
				""Pwd"":	""!@#$%12345"",
				""MaxAssociateNum"":	64,
				""SSIDAdvertisementEnabled"":	0
			}, {
				""Radio"":	""5G"",
				""Index"":	7,
				""Enable"":	0,
				""SSID"":	""CMCC-cpm7-5G_Guest"",
				""SecurityMode"":	""None"",
				""Encrypt"":	3,
				""Pwd"":	"""",
				""MaxAssociateNum"":	64,
				""SSIDAdvertisementEnabled"":	1
			}, {
				""Radio"":	""5G"",
				""Index"":	8,
				""Enable"":	1,
				""SSID"":	""CMCC-cpm7-5G_Wi-Fi5"",
				""SecurityMode"":	""MIXED-WPA2WPA3"",
				""Encrypt"":	1,
				""Pwd"":	""r7n4grh3"",
				""MaxAssociateNum"":	64,
				""SSIDAdvertisementEnabled"":	1
			}]
	},
	""deviceId"":	""""
}",,,,,0,1,2025-10-31T17:04:57.971+0100,1761926697,971452,2,False,1,2,3ce3,2,2.05 Content,33812,"{""CONTENT_FORMAT"": ""JSON""}",2154,/apdevice/query/WiFiStatus
183.238.61.98,1648225975,192.168.0.123,2063640768,50296,43,udp,1,5683,49709,4183,"{
	""respCode"":	1001,
	""restCont"":	""invalid argument""
}",,,,,0,1,2025-10-31T17:05:14.971+0100,1761926714,971919,2,False,1,2,cede,2,2.05 Content,56584,"{""CONTENT_FORMAT"": ""JSON""}",54,/apdevice/query/WlanNeighborInfo
