saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us
18.159.197.156,2630197010,192.168.0.123,2063640768,43316,56,udp,1,5683,47198,93,60457d70c128ff3c2f633e2c3c2f743e2c3c2f693e3b7469746c653d22446576696365496e666f222c3c2f6d3e3b7469746c653d224d6561737572656d656e74222c3c2f2e77656c6c2d6b6e6f776e2f636f72653e,,,,,0,1,2025-10-23T12:25:52.119+0200,1761215152,119029
5.9.183.182,3065448709,192.168.0.123,2063640768,12863,53,udp,1,5683,41515,117,60457d70c128ff3c2f6170693e2c3c2f6170692f76313e3b6f62732c3c2f6566656e746f3e3b6f62732c3c2f6566656e746f2f633e2c3c2f6566656e746f2f693e2c3c2f6566656e746f2f6d3e2c3c2f6566656e746f2f743e2c3c2f66773e3b6f62732c3c2f73773e3b6f6273,,,,,0,1,2025-10-23T12:25:52.127+0200,1761215152,127851
3.77.105.192,3228126467,192.168.0.123,2063640768,1664,55,udp,1,5683,37144,117,60457d70c128ff3c2f6170693e2c3c2f6170692f76313e3b6f62732c3c2f6566656e746f3e3b6f62732c3c2f6566656e746f2f633e2c3c2f6566656e746f2f693e2c3c2f6566656e746f2f6d3e2c3c2f6566656e746f2f743e2c3c2f66773e3b6f62732c3c2f73773e3b6f6273,,,,,0,1,2025-10-23T12:25:52.146+0200,1761215152,146701
31.202.114.155,2607991327,192.168.0.123,2063640768,30803,56,udp,1,5683,58698,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,1,2025-10-23T12:25:52.150+0200,1761215152,150948
31.40.35.32,539174943,192.168.0.123,2063640768,58396,55,udp,1,5683,46253,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,1,2025-10-23T12:25:52.161+0200,1761215152,161917
20.67.233.91,1542013716,192.168.0.123,2063640768,56764,42,udp,1,5683,59626,117,60457d70c128ff3c2f6170693e2c3c2f6170692f76313e3b6f62732c3c2f6566656e746f3e3b6f62732c3c2f6566656e746f2f633e2c3c2f6566656e746f2f693e2c3c2f6566656e746f2f6d3e2c3c2f6566656e746f2f743e2c3c2f66773e3b6f62732c3c2f73773e3b6f6273,,,,,0,1,2025-10-23T12:25:52.163+0200,1761215152,163358
5.101.135.80,1351050501,192.168.0.123,2063640768,25173,52,udp,1,5683,49059,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,1,2025-10-23T12:25:52.163+0200,1761215152,163468
5.164.154.124,2090509317,192.168.0.123,2063640768,47951,54,udp,1,5683,49173,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,1,2025-10-23T12:25:52.167+0200,1761215152,167079
5.164.166.42,715564037,192.168.0.123,2063640768,10637,54,udp,1,5683,39751,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,1,2025-10-23T12:25:52.170+0200,1761215152,170914
5.188.194.9,163757061,192.168.0.123,2063640768,23870,54,udp,1,5683,35281,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,1,2025-10-23T12:25:52.176+0200,1761215152,176372
