saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us,version,mtype,token-length,code,mid,token,options
95.37.50.152,2553423199,192.168.0.123,2063640768,15766,54,udp,1,5683.0,57837.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-27T13:16:18.400+0100,1761567378,400050,1.0,2.0,0.0,2.05 Content,32112.0,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
72.215.53.198,3325417288,192.168.0.123,2063640768,5370,242,icmp,0,,,,,72.215.53.198,3.0,3.0,port unreachable,0,0,2025-10-27T13:16:19.234+0100,1761567379,234370,,,,,,,
95.67.218.252,4242162527,192.168.0.123,2063640768,11039,54,udp,1,5683.0,32987.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-27T13:16:21.711+0100,1761567381,711825,1.0,2.0,0.0,2.05 Content,32112.0,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
95.72.159.248,4171188319,192.168.0.123,2063640768,48324,54,udp,1,5683.0,37346.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-27T13:16:23.325+0100,1761567383,325690,1.0,2.0,0.0,2.05 Content,32112.0,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
81.94.250.188,3170524753,192.168.0.123,2063640768,52632,51,udp,1,5683.0,59562.0,575.0,"</>;title=""General Info"";ct=0,</qlink/searchfh>;title=qlink/searchfh,</qlink/searchgw>;title=qlink/searchgw,</qlink/request>;title=qlink/request,</qlink/success>;title=qlink/success,</device/inform/bootstrap>;title=device/inform/bootstrap,</device/inform/boot>;title=device/inform/boot,</device/inform/syncreq>;title=device/inform/syncreq,</device/inform/offline>;title=device/inform/offline,</device/inform/heartbeat>;title=device/inform/heartbeat,</device/inform/data>;title=device/inform/data,</device/inform/change>;title=device/inform/change,</async>;ct=0",,,,,0,0,2025-10-27T13:16:25.643+0100,1761567385,643751,1.0,2.0,0.0,2.05 Content,32112.0,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
94.28.154.30,513416286,192.168.0.123,2063640768,19728,54,udp,1,5683.0,52885.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-27T13:16:31.119+0100,1761567391,119129,1.0,2.0,0.0,2.05 Content,32112.0,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
91.106.44.165,2771151451,192.168.0.123,2063640768,6075,50,udp,1,5683.0,57533.0,991.0,"</qlink>,</qlink/ack>;title=""Qlink-ACK Resource"",</qlink/request>;title=""Qlink-Request Resource"",</qlink/searchgw>;title=""SearchGW Resource"",</qlink/success>;title=""Qlink-Success Resource"",</qlink/wlantest>;title=""Qlink-WLAN Resource"",</gw>,</gw/query>,</gw/query/DiagnotorConnection>;title=""Connect To Diagnotor"",</gw/query/apdevices>;title=""Inform Data Resource"",</gw/query/config>;title=""config-properties Resource"",</basic>,</basic/regist>;title=""Qlink-Regist Resource"",</basic/show>;title=""Qlink-SHOW Resource"",</device>,</device/command>,</device/command/control>;title=""Device Control Resource"",</device/command/data>;title=""Control Data Resource"",</device/inform>,</device/inform/boot>;title=""Boot-Request Resource"",</device/inform/bootstrap>;title=""bootstrap-Request Resource"",</device/inform/data>;obs;title=""Inform Data Resource"",</device/inform/heartbeat>;title=""HeartBeat Resource"",</device/inform/offline>;title=""ChildDevice Offline Resource"",</.well-known/core>",,,,,0,0,2025-10-27T13:16:44.228+0100,1761567404,228008,1.0,2.0,0.0,2.05 Content,32112.0,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
78.170.77.219,3679300174,192.168.0.123,2063640768,48575,49,udp,1,5683.0,58360.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-27T13:16:56.676+0100,1761567416,676497,1.0,2.0,0.0,2.05 Content,32112.0,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
80.237.101.94,1583738192,192.168.0.123,2063640768,786,51,udp,1,5683.0,40033.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-27T13:16:58.779+0100,1761567418,779113,1.0,2.0,0.0,2.05 Content,32112.0,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
93.42.74.155,2605328989,192.168.0.123,2063640768,9879,53,udp,1,5683.0,45604.0,12.0,,,,,,0,0,2025-10-27T13:17:14.278+0100,1761567434,278315,1.0,2.0,0.0,4.04 Not Found,32112.0,,
85.15.108.253,4251717461,192.168.0.123,2063640768,11587,52,udp,1,5683.0,45436.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-27T13:18:25.048+0100,1761567505,48088,1.0,2.0,0.0,2.05 Content,32112.0,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
83.234.255.165,2785012307,192.168.0.123,2063640768,15389,50,udp,1,5683.0,43132.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-27T13:18:34.822+0100,1761567514,822845,1.0,2.0,0.0,2.05 Content,32112.0,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
82.220.125.216,3632127058,192.168.0.123,2063640768,6118,49,icmp,0,,,,,82.220.125.216,3.0,13.0,communication admin. prohibited,0,0,2025-10-27T13:18:40.462+0100,1761567520,462347,,,,,,,
87.251.174.85,1437530967,192.168.0.123,2063640768,39356,54,udp,1,5683.0,35033.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-27T13:18:43.286+0100,1761567523,286540,1.0,2.0,0.0,2.05 Content,32112.0,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
90.189.239.206,3471818074,192.168.0.123,2063640768,60977,54,udp,1,5683.0,36135.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-27T13:18:51.044+0100,1761567531,44072,1.0,2.0,0.0,2.05 Content,32112.0,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
93.100.180.181,3048498269,192.168.0.123,2063640768,12450,52,udp,1,5683.0,45768.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-27T13:18:51.443+0100,1761567531,443547,1.0,2.0,0.0,2.05 Content,32112.0,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
93.100.17.91,1527866461,192.168.0.123,2063640768,33714,53,udp,1,5683.0,40868.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-27T13:18:54.745+0100,1761567534,745492,1.0,2.0,0.0,2.05 Content,32112.0,,"{""CONTENT_FORMAT"": ""LINKFORMAT""}"
