saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us,observable,version,mtype,token,token_length,code,mid,options,data_length,uri
93.100.217.158,2665047133,192.168.0.123,2063640768,25262,52,udp,1,5683.0,60351.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-11-01T10:45:57.373+0100,1761990357,373771,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0,/.well-known/core
92.62.150.242,4069932636,192.168.0.123,2063640768,38509,50,udp,1,5683.0,53690.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-11-01T10:46:00.274+0100,1761990360,274690,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0,/.well-known/core
81.26.136.167,2810714705,192.168.0.123,2063640768,38806,43,udp,1,5683.0,57679.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-11-01T10:46:19.558+0100,1761990379,558147,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0,/.well-known/core
87.117.155.69,1167816023,192.168.0.123,2063640768,41287,50,udp,1,5683.0,51162.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-11-01T10:46:22.537+0100,1761990382,537479,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0,/.well-known/core
70.15.27.12,203099974,192.168.0.123,2063640768,19372,54,icmp,0,,,,,70.15.27.12,3.0,13.0,communication admin. prohibited,0,0,2025-11-01T10:48:03.507+0100,1761990483,507037,,,,,,,,,,
87.250.31.247,4146068055,192.168.0.123,2063640768,53241,51,udp,1,5683.0,33301.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-11-01T10:48:25.514+0100,1761990505,514690,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0,/.well-known/core
81.8.35.57,958597201,192.168.0.123,2063640768,12649,47,udp,1,5683.0,51849.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-11-01T10:50:14.962+0100,1761990614,962607,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0,/.well-known/core
83.3.251.175,2952463187,192.168.0.123,2063640768,7137,52,icmp,0,,,,,83.3.251.175,3.0,3.0,port unreachable,0,0,2025-11-01T10:50:24.780+0100,1761990624,780084,,,,,,,,,,
93.91.125.91,1534942045,192.168.0.123,2063640768,35510,55,udp,1,5683.0,33690.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-11-01T10:50:35.915+0100,1761990635,915186,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0,/.well-known/core
95.181.21.194,3256202591,192.168.0.123,2063640768,7677,44,icmp,0,,,,,95.181.21.194,3.0,3.0,port unreachable,0,0,2025-11-01T10:50:36.499+0100,1761990636,499040,,,,,,,,,,
78.132.185.255,4290348110,192.168.0.123,2063640768,58986,54,udp,1,5683.0,59239.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-11-01T10:50:38.016+0100,1761990638,16667,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0,/.well-known/core
94.233.209.22,382855518,192.168.0.123,2063640768,24672,54,udp,1,5683.0,52579.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-11-01T10:51:08.449+0100,1761990668,449191,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0,/.well-known/core
87.225.33.34,572645719,192.168.0.123,2063640768,40934,54,udp,1,5683.0,60876.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-11-01T10:54:00.112+0100,1761990840,112816,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0,/.well-known/core
90.224.36.159,2669994074,192.168.0.123,2063640768,10650,52,icmp,0,,,,,90.224.36.159,3.0,3.0,port unreachable,0,0,2025-11-01T10:54:08.831+0100,1761990848,831707,,,,,,,,,,
88.147.142.162,2727252824,192.168.0.123,2063640768,27628,54,udp,1,5683.0,55525.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-11-01T10:54:34.893+0100,1761990874,893247,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0,/.well-known/core
