saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us,uri,observable,version,mtype,token,token_length,code,mid,options,data_length
112.209.18.62,1041420656,192.168.0.123,2063640768,0,50,udp,1,5683.0,33366.0,524.0,"</>;title=""General Info"";ct=0,</qlink/searchfh>;title=qlink/searchfh,</qlink/searchgw>;title=qlink/searchgw,</qlink/request>;title=qlink/request,</qlink/success>;title=qlink/success,</device/inform/bootstrap>;title=device/inform/bootstrap,</device/inform/boot>;title=device/inform/boot,</device/inform/syncreq>;title=device/inform/syncreq,</device/inform/offline>;title=device/inform/offline,</device/inform/heartbeat>;title=device/inform/heartbeat,</device/inform/data>;title=device/inform/data,</async>;ct=0",,,,,0,0,2025-10-30T19:47:52.420+0100,1761850072,420146,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",509.0
117.172.216.145,2446896245,192.168.0.123,2063640768,183,39,udp,1,5683.0,40528.0,285.0,"</qlink>,</qlink/searchgw>,</device>,</device/inform>,</device/inform/boot>,</device/inform/bootstrap>,</device/inform/data>,</device/inform/heartbeat>,</device/inform/offline>,</ekit>,</ekit/boot>,</ekit/bootstrap>,</ekit/heartbeat>,</ekit/searchgw>,</.well-known/core>",,,,,0,0,2025-10-30T19:47:52.950+0100,1761850072,950946,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",270.0
111.9.77.160,2689403247,192.168.0.123,2063640768,10546,39,udp,1,5683.0,35144.0,532.0,,,,,,0,0,2025-10-30T19:47:59.966+0100,1761850079,966562,/.well-known/core,3.0,,,,,,,,
124.106.192.164,2764073596,192.168.0.123,2063640768,0,52,udp,1,5683.0,55412.0,524.0,"</>;title=""General Info"";ct=0,</qlink/searchfh>;title=qlink/searchfh,</qlink/searchgw>;title=qlink/searchgw,</qlink/request>;title=qlink/request,</qlink/success>;title=qlink/success,</device/inform/bootstrap>;title=device/inform/bootstrap,</device/inform/boot>;title=device/inform/boot,</device/inform/syncreq>;title=device/inform/syncreq,</device/inform/offline>;title=device/inform/offline,</device/inform/heartbeat>;title=device/inform/heartbeat,</device/inform/data>;title=device/inform/data,</async>;ct=0",,,,,0,0,2025-10-30T19:48:00.310+0100,1761850080,310505,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",509.0
112.201.255.51,872401264,192.168.0.123,2063640768,0,50,udp,1,5683.0,54115.0,524.0,"</>;title=""General Info"";ct=0,</qlink/searchfh>;title=qlink/searchfh,</qlink/searchgw>;title=qlink/searchgw,</qlink/request>;title=qlink/request,</qlink/success>;title=qlink/success,</device/inform/bootstrap>;title=device/inform/bootstrap,</device/inform/boot>;title=device/inform/boot,</device/inform/syncreq>;title=device/inform/syncreq,</device/inform/offline>;title=device/inform/offline,</device/inform/heartbeat>;title=device/inform/heartbeat,</device/inform/data>;title=device/inform/data,</async>;ct=0",,,,,0,0,2025-10-30T19:48:06.280+0100,1761850086,280114,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",509.0
112.209.52.66,1110757744,192.168.0.123,2063640768,0,52,udp,1,5683.0,58912.0,524.0,"</>;title=""General Info"";ct=0,</qlink/searchfh>;title=qlink/searchfh,</qlink/searchgw>;title=qlink/searchgw,</qlink/request>;title=qlink/request,</qlink/success>;title=qlink/success,</device/inform/bootstrap>;title=device/inform/bootstrap,</device/inform/boot>;title=device/inform/boot,</device/inform/syncreq>;title=device/inform/syncreq,</device/inform/offline>;title=device/inform/offline,</device/inform/heartbeat>;title=device/inform/heartbeat,</device/inform/data>;title=device/inform/data,</async>;ct=0",,,,,0,0,2025-10-30T19:48:09.038+0100,1761850089,38434,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",509.0
121.73.167.33,564611449,192.168.0.123,2063640768,47368,44,icmp,0,,,,,121.73.167.33,3.0,3.0,port unreachable,0,0,2025-10-30T19:48:20.974+0100,1761850100,974631,/.well-known/core,,,,,,,,,
109.248.125.102,1719531629,192.168.0.123,2063640768,25460,54,udp,1,5683.0,55298.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-30T19:48:31.195+0100,1761850111,195079,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0
124.104.44.155,2603378812,192.168.0.123,2063640768,0,52,udp,1,5683.0,45482.0,524.0,"</>;title=""General Info"";ct=0,</qlink/searchfh>;title=qlink/searchfh,</qlink/searchgw>;title=qlink/searchgw,</qlink/request>;title=qlink/request,</qlink/success>;title=qlink/success,</device/inform/bootstrap>;title=device/inform/bootstrap,</device/inform/boot>;title=device/inform/boot,</device/inform/syncreq>;title=device/inform/syncreq,</device/inform/offline>;title=device/inform/offline,</device/inform/heartbeat>;title=device/inform/heartbeat,</device/inform/data>;title=device/inform/data,</async>;ct=0",,,,,0,0,2025-10-30T19:48:35.385+0100,1761850115,385617,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",509.0
122.52.69.144,2420454522,192.168.0.123,2063640768,0,52,udp,1,5683.0,59722.0,524.0,"</>;title=""General Info"";ct=0,</qlink/searchfh>;title=qlink/searchfh,</qlink/searchgw>;title=qlink/searchgw,</qlink/request>;title=qlink/request,</qlink/success>;title=qlink/success,</device/inform/bootstrap>;title=device/inform/bootstrap,</device/inform/boot>;title=device/inform/boot,</device/inform/syncreq>;title=device/inform/syncreq,</device/inform/offline>;title=device/inform/offline,</device/inform/heartbeat>;title=device/inform/heartbeat,</device/inform/data>;title=device/inform/data,</async>;ct=0",,,,,0,0,2025-10-30T19:49:57.931+0100,1761850197,931881,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",509.0
111.22.246.141,2381715055,192.168.0.123,2063640768,114,41,udp,1,5683.0,52425.0,1301.0,"</>;title=""General Info"";ct=0,</qlink/searchdevice>;title=""searchdevice"";obs,</qlink/netinfo>;title=""netinfo"";obs,</qlink/searchack>;title=""searchack"";obs,</device/command/unbind>;title=""unbind"";obs,</device/command/file>;title=""file"";obs,</device/command/log>;title=""log"";obs,</device/command/selfdetect>;title=""selfdetect"";obs,</qlink/searchdevice?true>;title=""searchdevice?true"";obs,</qlink/searchRouter?true>;title=""searchRouter?true"";obs,</qlink/guide?true>;title=""guide?true"";obs,</qlink/request?true>;title=""request?true"";obs,</apdevice/control/WiFiParameterSync>;title=""WiFiParameterSync"";obs,</apdevice/control/WiFiSwitch>;title=""WiFiSwitch"";obs,</apdevice/control/RadioConfig>;title=""RadioConfig"";obs,</apdevice/control/WPS>;title=""WPS"";obs,</apdevice/control/MacFilter>;title=""MacFilter"";obs,</apdevice/control/Reboot>;title=""Reboot"";obs,</apdevice/control/LEDControl>;title=""LEDControl"";obs,</apdevice/control/RoamingConfig>;title=""RoamingConfig"";obs,</apdevice/query/ApConfigInfo>;title=""ApConfigInfo"";obs,</apdevice/query/UplinkStatus>;title=""UplinkStatus"";obs,</apdevice/query/STAInfo>;title=""STAInfo"";obs,</apdevice/query/WiFiStats>;title=""WiFiStats"";obs,</apdevice/query/WiFiStatus>;title=""WiFiStatus"";obs,</apdevice/query/WlanNeighborInfo>;title=""WlanNeighborInfo"";obs",,,,,0,0,2025-10-30T19:49:59.378+0100,1761850199,378225,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",1286.0
123.88.129.54,914446459,192.168.0.123,2063640768,61604,42,udp,1,5683.0,54714.0,285.0,"</qlink>,</qlink/searchgw>,</device>,</device/inform>,</device/inform/boot>,</device/inform/bootstrap>,</device/inform/data>,</device/inform/heartbeat>,</device/inform/offline>,</ekit>,</ekit/boot>,</ekit/bootstrap>,</ekit/heartbeat>,</ekit/searchgw>,</.well-known/core>",,,,,0,0,2025-10-30T19:50:00.880+0100,1761850200,880673,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",270.0
