saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us,uri,observable,version,mtype,token,token_length,code,mid,options,data_length
3.211.69.212,3561345795,192.168.0.123,2063640768,20476,52,udp,1,5683.0,58572.0,117.0,"</api>,</api/v1>;obs,</efento>;obs,</efento/c>,</efento/i>,</efento/m>,</efento/t>,</fw>;obs,</sw>;obs",,,,,0,0,2025-10-30T18:06:28.240+0100,1761843988,240336,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",102.0
14.185.228.15,266647822,192.168.0.123,2063640768,18051,50,udp,1,5683.0,59127.0,1301.0,"</>;title=""General Info"";ct=0,</qlink/searchdevice>;title=""searchdevice"";obs,</qlink/netinfo>;title=""netinfo"";obs,</qlink/searchack>;title=""searchack"";obs,</device/command/unbind>;title=""unbind"";obs,</device/command/file>;title=""file"";obs,</device/command/log>;title=""log"";obs,</device/command/selfdetect>;title=""selfdetect"";obs,</qlink/searchdevice?true>;title=""searchdevice?true"";obs,</qlink/searchRouter?true>;title=""searchRouter?true"";obs,</qlink/guide?true>;title=""guide?true"";obs,</qlink/request?true>;title=""request?true"";obs,</apdevice/control/WiFiParameterSync>;title=""WiFiParameterSync"";obs,</apdevice/control/WiFiSwitch>;title=""WiFiSwitch"";obs,</apdevice/control/RadioConfig>;title=""RadioConfig"";obs,</apdevice/control/WPS>;title=""WPS"";obs,</apdevice/control/MacFilter>;title=""MacFilter"";obs,</apdevice/control/Reboot>;title=""Reboot"";obs,</apdevice/control/LEDControl>;title=""LEDControl"";obs,</apdevice/control/RoamingConfig>;title=""RoamingConfig"";obs,</apdevice/query/ApConfigInfo>;title=""ApConfigInfo"";obs,</apdevice/query/UplinkStatus>;title=""UplinkStatus"";obs,</apdevice/query/STAInfo>;title=""STAInfo"";obs,</apdevice/query/WiFiStats>;title=""WiFiStats"";obs,</apdevice/query/WiFiStatus>;title=""WiFiStatus"";obs,</apdevice/query/WlanNeighborInfo>;title=""WlanNeighborInfo"";obs",,,,,0,0,2025-10-30T18:07:11.988+0100,1761844031,988944,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",1286.0
31.41.190.20,348006687,192.168.0.123,2063640768,17120,53,udp,1,5683.0,58149.0,77.0,"</ndm/dis>,</ndm/ci>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-30T18:09:51.764+0100,1761844191,764205,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",62.0
2.245.32.173,2904618242,192.168.0.123,2063640768,55476,49,icmp,0,,,,,2.245.32.173,3.0,13.0,communication admin. prohibited,0,0,2025-10-30T18:10:36.387+0100,1761844236,387169,/.well-known/core,,,,,,,,,
5.17.32.31,522195205,192.168.0.123,2063640768,34250,54,udp,1,5683.0,57161.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-30T18:10:52.992+0100,1761844252,992422,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0
5.180.19.116,1947448325,192.168.0.123,2063640768,56158,53,udp,1,5683.0,32778.0,77.0,"</ndm/dis>,</ndm/ci>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-30T18:12:09.860+0100,1761844329,860877,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",62.0
3.115.208.209,3520099075,192.168.0.123,2063640768,28736,236,icmp,0,,,,,3.115.208.209,3.0,3.0,port unreachable,0,0,2025-10-30T18:12:51.517+0100,1761844371,517486,/.well-known/core,,,,,,,,,
31.23.104.155,2607290143,192.168.0.123,2063640768,28584,54,udp,1,5683.0,41945.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-30T18:13:02.985+0100,1761844382,985544,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0
24.156.161.80,1352768536,192.168.0.123,2063640768,45009,47,udp,1,5683.0,36216.0,575.0,"</>;title=""General Info"";ct=0,</qlink/searchfh>;title=qlink/searchfh,</qlink/searchgw>;title=qlink/searchgw,</qlink/request>;title=qlink/request,</qlink/success>;title=qlink/success,</device/inform/bootstrap>;title=device/inform/bootstrap,</device/inform/boot>;title=device/inform/boot,</device/inform/syncreq>;title=device/inform/syncreq,</device/inform/offline>;title=device/inform/offline,</device/inform/heartbeat>;title=device/inform/heartbeat,</device/inform/data>;title=device/inform/data,</device/inform/change>;title=device/inform/change,</async>;ct=0",,,,,0,0,2025-10-30T18:15:10.853+0100,1761844510,853358,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",560.0
5.166.59.100,1681630725,192.168.0.123,2063640768,8573,54,udp,1,5683.0,38056.0,99.0,"</register>,</ndm/dis>,</ndm/ci>,</mirror>,</uhp>,</ndm/logout>,</ndm/login>,</info>",,,,,0,0,2025-10-30T18:17:07.105+0100,1761844627,105380,/.well-known/core,3.0,1.0,2.0,,0.0,2.05 Content,32112.0,"{""CONTENT_FORMAT"": ""LINKFORMAT""}",84.0
