saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us
159.148.118.37,628528287,192.168.0.123,2063640768,7543,50,udp,1,5683,59288,35,60457d70c128ff3c2f706f7274616c3e2c3c2f73746f726167653e,,,,,0,1,2025-10-21T14:37:45.974+0200,1761050265,974071
146.120.163.167,2812508306,192.168.0.123,2063640768,3824,55,udp,1,5683,60955,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,1,2025-10-21T14:37:45.993+0200,1761050265,993148
159.224.62.179,3007242399,192.168.0.123,2063640768,40257,55,udp,1,5683,43242,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,1,2025-10-21T14:37:45.997+0200,1761050265,997856
128.140.112.69,1165003904,192.168.0.123,2063640768,7787,49,udp,1,5683,53124,12,60007d70,,,,,0,1,2025-10-21T14:37:45.998+0200,1761050265,998799
141.101.205.160,2697815437,192.168.0.123,2063640768,54643,54,udp,1,5683,49566,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,1,2025-10-21T14:37:46.001+0200,1761050266,1939
128.140.112.69,1165003904,192.168.0.123,2063640768,7789,49,udp,1,5683,53124,12,408325d6,,,,,1,1,2025-10-21T14:37:46.002+0200,1761050266,2875
136.169.219.242,4074482056,192.168.0.123,2063640768,5846,47,udp,1,5683,42555,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,1,2025-10-21T14:37:46.010+0200,1761050266,10781
141.101.188.135,2277270925,192.168.0.123,2063640768,15529,54,udp,1,5683,44369,77,60457d70c128ff3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,1,2025-10-21T14:37:46.019+0200,1761050266,19194
146.158.62.215,3611205266,192.168.0.123,2063640768,18153,51,udp,1,5683,43000,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,1,2025-10-21T14:37:46.026+0200,1761050266,26535
145.255.23.45,756547473,192.168.0.123,2063640768,45048,49,udp,1,5683,40608,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,1,2025-10-21T14:37:46.028+0200,1761050266,28561
151.252.71.118,1984429207,192.168.0.123,2063640768,39421,51,udp,1,5683,39909,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,1,2025-10-21T14:37:46.034+0200,1761050266,34037
155.212.24.163,2736313499,192.168.0.123,2063640768,2986,51,udp,1,5683,46585,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,1,2025-10-21T14:37:46.036+0200,1761050266,36819
146.158.50.241,4046626450,192.168.0.123,2063640768,55693,53,udp,1,5683,35951,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,1,2025-10-21T14:37:46.050+0200,1761050266,50086
146.120.184.51,867727506,192.168.0.123,2063640768,13936,52,udp,1,5683,42245,99,60457d70c128ff3c2f72656769737465723e2c3c2f6e646d2f6469733e2c3c2f6e646d2f63693e2c3c2f6d6972726f723e2c3c2f7568703e2c3c2f6e646d2f6c6f676f75743e2c3c2f6e646d2f6c6f67696e3e2c3c2f696e666f3e,,,,,0,1,2025-10-21T14:37:46.055+0200,1761050266,55310
135.0.75.189,3175809159,192.168.0.123,2063640768,35949,47,udp,1,5683,43876,575,60457d70c128ff3c2f3e3b7469746c653d2247656e6572616c20496e666f223b63743d302c3c2f716c696e6b2f73656172636866683e3b7469746c653d716c696e6b2f73656172636866682c3c2f716c696e6b2f73656172636867773e3b7469746c653d716c696e6b2f73656172636867772c3c2f716c696e6b2f726571756573743e3b7469746c653d716c696e6b2f726571756573742c3c2f716c696e6b2f737563636573733e3b7469746c653d716c696e6b2f737563636573732c3c2f6465766963652f696e666f726d2f626f6f7473747261703e3b7469746c653d6465766963652f696e666f726d2f626f6f7473747261702c3c2f6465766963652f696e666f726d2f626f6f743e3b7469746c653d6465766963652f696e666f726d2f626f6f742c3c2f6465766963652f696e666f726d2f73796e637265713e3b7469746c653d6465766963652f696e666f726d2f73796e637265712c3c2f6465766963652f696e666f726d2f6f66666c696e653e3b7469746c653d6465766963652f696e666f726d2f6f66666c696e652c3c2f6465766963652f696e666f726d2f6865617274626561743e3b7469746c653d6465766963652f696e666f726d2f6865617274626561742c3c2f6465766963652f696e666f726d2f646174613e3b7469746c653d6465766963652f696e666f726d2f646174612c3c2f6465766963652f696e666f726d2f6368616e67653e3b7469746c653d6465766963652f696e666f726d2f6368616e67652c3c2f6173796e633e3b63743d30,,,,,0,1,2025-10-21T14:37:46.064+0200,1761050266,64285
